Non-Grammar,Full
NNP NNP POS NN NN NN RB VBD JJ NN . ,NN IN NNP POS NN NN NN VBD RB VBN IN DT JJ NN . 
PRP VBD JJ NNP `` VB VBG NNS JJ JJ NN JJ NN NN MD VB `` . ,PRP VBD IN DT JJ NNP `` VB VBG NNS CC VB DT JJ NN RB IN DT JJ NN IN DT NN MD VB VBN `` . 
DT JJ NN VBD NN NNP NNP NNP POS VBG JJ NNS VBN NN NN NNS JJ NNS . ,DT JJ NN VBD DT NN IN DT NNP NNP NNP POS NN IN JJ NNS VBN IN NN NN NNS IN JJ NNS . 
"`` DT CD JJ NNS NNP NNP JJ NN NN `` , NN VBD , NNP NNP NNP `` VBN JJ NN NNS JJ NNS NNS NN NN NNP NNP , VBZ NN NN . ","`` DT VBZ CD IN DT JJ NNS IN DT NNP NNP JJ NN NN `` , DT NN VBD , CC DT NNP NNP NNP `` VBZ VBN NN TO VB DT NNS IN DT NN NNS IN PDT DT NNS IN DT NN IN DT NN IN NNP NNP , WDT VBZ NN IN DT NN . "
DT NNS VBD VBP `` JJ NN NNS MD VB NN RBR JJ NNS `` . ,DT NNS VBD PRP VBP `` DT JJ NN IN DT NNS MD VB DT NN IN PRP$ CC JJ NNS `` . 
"RB , `` VB JJ NNP NNP JJ NN JJ NNS `` , NNS VBD . ","RB , `` PRP VBP IN IN DT JJ NNP NNP MD VB DT NN IN DT JJ NNS `` , DT NNS VBD . "
`` NN JJ NN NN NN `` NNP NNS . ,`` NN TO VB DT MD VB TO VB DT NN NN `` IN NNP NNS . 
"DT NN RB VBD NNP NNP POS NN NN NNS NN NNS , NNS NNS VBG NNS NN . ","DT NN RB VBN IN DT NNP NNP POS NN WDT VBZ VBN IN NN IN PRP$ NNS IN DT NN IN NNS , NNS CC NNS CC DT NN IN NNS CC NN . "
NNS VBD ,NNS VBD 
"DT NN VBD VBN NN `` VBN NN NNS NNS `` CD JJ JJ NNS , NNP NNP NNP VBZ NNS NN . ","DT NN VBD PRP VBD DT NN `` VBZ VBN IN PRP$ NN VBZ DT NNS `` IN CD JJ JJ NNS , DT NNP NNP NNP CC DT JJ NNS NN . "
"`` DT NNS VBP JJ NN NN NN POS NNS JJ NNS VBD JJ NNS JJ NNS `` , NN VBD . ","`` DT NNS MD VB TO VB IN NN CC IN NN DT NN POS NNS IN JJ NNS CC PRP$ VBN CC VBN NNS IN JJ NNS `` , DT NN VBD . "
"VBG NNP POS JJ JJ NN , NN VBD `` JJ NN VBZ NN NNP CD NN VBD NN VB JJ NNS `` . ","VBG NNP POS JJ JJ NN , DT NN VBD `` IN WRB DT JJ NN VBZ NN NNP CD DT NN VB VBN IN DT NN WDT MD VB JJ NNS `` . "
"DT NN NN , VBD `` JJ NN NN NNS VBZ JJ VBG NNS JJ `` . ","DT NN VBD RB JJ , CC PRP VBD IN `` EX MD VB JJ NN IN DT NN NNS IN DT NNS IN DT NN IN VBG DT NNS JJ `` . "
NNP NN NNS ,NNP NN NNS 
"IN NNS , NN VBD : ( CD ) ","IN JJ NNS , DT NN VBD IN : ( CD ) "
"CD JJ NNS VBN NNP NNP NNP `` NN , JJ JJ JJ VBN NN NN NN NN `` . ","CD JJ NNS VB VBN IN DT NNP NNP NNP CC `` DT NN , JJ NN CC JJ VB VBN IN NN CC NN NN IN DT NN `` . "
( CD ) ,( CD ) 
NNP NNS `` VBP NN NNS VBP VBG NN NN NN NN JJ `` NN NN NN NNS . ,NNP NNS `` NN IN NN NNS TO VB VBG NN WDT MD VB DT NN IN DT JJ CC JJ `` NN NN IN NN NNS . 
"DT NN VBD NN NN NNP NNP NNP , NNP NNP NNP POS NNP , NNP NNP NN NNS , NNP NNP NNP NNP NNP . ","DT NN VBD DT NN CC NN IN DT NNP NNP NNP , DT NNP NNP NNP POS NNP , DT NNP CC NNP NN NNS , NNP NNP CC DT NNP NNP NNP . "
"NNP NNP NNP NNP VBD NN NN NN , NNP NNP NNP , NNP NNP NNP NNP . ","NNP NNP NNP NNP VBD NN IN NN IN PRP$ NN , NNP NNP NNP , IN NNP NNP NNP NNP . "
PRP$ NN VBN JJ NN . ,PRP$ NN VBN JJ NN . 
"DT NN VBN NNP CD , CD . ","DT NN VBD VBN NNP CD , CD . "
"PRP VBP , NNP NNP NNP , NN , NNP NNP NNP NNP NNP . ","PRP VBP DT NN , NNP NNP NNP , CC DT NN , NNP NNP NNP NNP IN NNP . "
NNP NN VBD JJ NN NN VBD IN . ,NNS IN DT NN VBD IN DT JJ NN NN VBZ VBN VBN IN . 
DT NN VBD NN POS NN `` NN `` NN CD . ,DT NN VBD DT NN POS NN IN `` NN `` CC PRP$ NN IN CD . 
"PRP VBD NN POS NN CD NN NN NNP , NNP . ","PRP VBD PRP$ NN POS NN IN CD CC NN IN NN IN NNP , NNP . "
DT NN VBD NN VBD RB NN NN NN . ,DT NN VBD IN DT NN VBZ RB VBN RB IN NN CC NN IN JJR IN DT NN . 
DT NNP NN CD NNP NNP NNP . NNP . ,DT NNP NN VBZ IN CD NNP NNP NNP . NNP . 
NNP NNP NNP VBN NN NN POS NN . ,NNP NNP NNP VBD VBN IN DT NN IN DT NN POS NN . 
"NNP NN NNP , NN CD NN NN , IN CD . ","NNP VBZ VBN NN IN NNP , IN NN IN CD NN NN , IN CD . "
PRP$ JJ NN VBZ RB NN NN NN CD . ,PRP$ JJ NN VBZ RB TO PRP$ NN TO NN NN IN CD . 
DT NN POS JJ NN NN VBZ NNP CD . ,DT NN POS JJ NN IN NN VBZ NNP CD . 
"PRP VBD NNP NNP NNP , VBD JJ NNP CD JJ NNP NNP VBD MD VB NN . ","PRP MD VB VBN IN NNP NNP NNP , WP VBD DT NN IN DT NNP CD NN IN NNP NNP VBD IN PRP MD RB VB IN NN . "
"NNP NNPS VBG JJ NN NN NN CD NN POS NN , JJ NN VBD NNP . ","NNP NNPS VBP VBG JJ NN TO VB DT NN IN DT CD NN POS NN , DT JJ NN VBD NNP . "
"NNP NNP , NN NNP NN , VBD NN VBD NNP NN NNP NNP VBD JJ NNS NN . ","NNP NNP , NN NNP NN , VBD DT NN VBD NNP NN IN NNP NNP VBD JJ NNS IN DT NN . "
NNP NNP NNP NNP NNP NNP VBD NN VBG NN NN VBD NNP CD NNP RB VBD NNP NNP NNP NNP VBD NN . ,NNP NNP NNP NNP NNP NNP VBD IN NN VBD VBG RP IN DT NN NN TO VB VBN NNP CD IN NNP IN WDT RB VBN NNP NNP NNP NNP MD VB DT JJ NN . 
"IN NNP NNP NN , NN VBD VBG NN NN MD VB VB NNS VBG NNS VB NNS JJ NNS . ","IN DT NNP NNP NN , DT NN VBD VBN IN VBG DT NN IN NN MD VB PRP TO VB NNS RP IN VBG NNS TO VB DT NNS IN JJ NNS . "
"IN NN , JJ NN NN NN , VBG NNPS VBD . ","IN DT NN , EX VBD DT JJ NN TO VB DT NN , VBG TO NNPS WP VBD . "
"WRB NN VBD IN JJ NN CD NN NN NN , VBD : NNS . ","WRB DT NN VBD VBN IN PRP VBD TO VB CD JJR NN TO VB DT NN , PRP VBD DT : CC EX VBD DT NNS . "
"DT JJS NN NNPS MD VB NN NN VBZ VBG JJ NN , CD CD JJ NNS MD VBN : CD ","DT JJS NN DT NNPS MD VB TO NN VBZ DT NN NN WDT VBZ IN IN VBG DT JJ NN , CD IN CD JJ NNS MD VB VBN : CD "
"CD IN NN NNS VBP MD VB NNS VBG NNPS VBN NN NNS NNS JJ NN NN , CD ","CD IN NN IN DT NNS IN DT NN MD VB NNS VBG IN DT NNPS VB VBN TO VB NNS IN NNS IN DT JJ NN NN , CC CD "
DT NNPS MD VB JJ NN NN NN : NN NN VBZ NN . ,DT NNPS MD VB DT JJ IN DT NN NN NN : DT NN WDT DT NN VBZ IN PRP$ NN . 
"NNP NNP , NNP NNP NNP JJ NNS NN , VBD NNP VB NNP NNP . NNP NNP POS NN . ","NNP NNP , NNP NNP NNP JJ NNS NN , VBD NNP TO VB IN NNP NNP . NNP NNP POS NN . "
NNP POS NN VBD NN . ,NNP POS NN VBD VBN VBN IN DT NN . 
"PRP VBD NNP NNP NNP , JJ CD NNS . ","PRP MD VB VBN IN NNP NNP IN NNP , WP VBZ VBN DT NN JJR IN CD NNS . "
"WRB JJ NN VBZ , NNP VBD JJ NN NN NNP . ","WRB DT JJ NN VBZ , NNP VBZ VBN TO VB DT NN NN IN NNP . "
DT NNP NNP IN CD NN NNP VBD NN : NN NN NN VBD JJ RB . ,DT NNP NNP MD VB RP PRP$ CD NN NNP CC NN IN NN : WRB DT IN DT NN NN NN PRP VBD MD VB RB . 
"IN JJ NNP NN , NNP VBN RB VB NN NNS VBD JJ JJ NNS VBP NNS VBN . ","IN JJ NNP NN , DT NNP VBZ VBN TO VB DT NN IN DT NN IN NNS VBN TO JJ CC JJ NNS TO VB WP NNS MD VB VBN . "
NNP . NNP VBD JJ JJ NN NNS VBP IN NN . ,NNP . NNP VBZ VBN TO VB DT JJ NN TO DT NNS IN PRP VBP IN NN . 
NNP JJ NN $ CD CD NN NN NN VBD JJR NN RB JJ NN . ,NNP RB MD VB DT $ CD CD NN NN NN VBD RBR IN DT NN IN PRP$ JJ NN NN . 
NN NNS ,NN NNS 
"RB , VBD NNP NNP NNP IN JJ NN RB $ CD CD JJ NN NN NNS . ","RB , PRP VBD VBN DT NNP NNP NNP VBZ RB IN VBG JJ TO VB DT JJ $ CD CD NN IN NN NN NNS . "
"DT NN NN VBP NN NNS RB VBP NN NN NN NN , NNS VBP NNS VB NN VB NNP POS RB VBN NNS . ","DT NN NN MD VB TO DT NN NNS IN DT JJ NN NN TO VB DT NN IN DT NN , CC RB DT NNS MD VB CC NNS VBP IN NN NN IN DT IN NNP POS JJS RB VBN NNS . "
DT NNP NNP NN VBD RB JJ VB $ CD CD $ CD CD JJ NNP NNP NNP NNS JJ NN NN NN . ,DT NNP NNP NN VBD EX RB VBZ DT NN RB TO VB DT $ CD CD TO $ CD CD NN IN NNP NNP NNP NNS IN JJ NN NN NN . 
DT NN NN ,DT NN NN 
DT NN RB VBZ JJ NNP NNP NNP VBG NN JJ NNS MD VB DT NN NN JJ NNS VBN NN NNS . ,DT NN RB VBZ TO VB DT NNP NNP NNP DT VBG NN IN WDT JJ NNS MD VB VBN DT NN DT NN IN DT JJ NNS VBP VBN RP IN NN NNS . 
RB VBN NN NN CD NN NNP NN $ CD CD JJ JJ JJ NNS NNS VBD NNP . NNP NNP . ,RB VBD PRP$ NN IN NN IN CD IN DT NN IN DT NNP IN DT NN IN $ CD CD NN IN JJ JJ NNS NNS VBN IN RB NNP . NNP NNP . 
"DT NNP NNP NN VBD DT NNP , RB , NNP VBD RB NNS VBP JJ JJ NNS NNS . ","DT NNP NNP NN VBD DT NNP , RB , IN NNP VBZ RB VBN VBN RB IN DT NNS TO VB DT JJ JJ NNS NNS . "
NNP NNP NNP NNP NNP NNP NN NN NNP NNP VBZ NN POS NN NNP VBG $ CD IN NN NN NN NNS . ,NNP NNP NNP NNP NNP NNP MD VB DT NN NNP IN DT NNP TO VB DT NN POS NN IN NNP IN VBG PRP DT $ CD IN NN NN IN JJ NNS . 
NNP VBD NNP NN NN VBN IN `` NN `` JJ NN VBD RB IN NN MD VB VBN NN NN MD VB . ,NNP VBD NNP NN RB VBD NN VBG VBN IN IN DT `` NN `` NN IN DT NN MD VB VBN RB CC IN NN MD VB TO JJ VB VBN DT NN IN DT NN MD VB VBN . 
"IN VBG JJ NNS RB VBN , NNP VBD NN MD VB VB RB JJ NN NNP VBD CD . ","IN VBG DT JJ NNS VBD RB RB VBN RP , NNP VBD PRP$ NN MD VB TO VB RP DT NN NN WDT DT NNP VBD IN JJ . "
DT JJ NN VBD NNP NN CD . ,DT JJ NN VBD IN DT NNP IN DT NN IN JJ . 
"IN NNP NN , NN NN VBN JJ NN . ","IN IN NNP NN , EX VBD DT NN IN DT NN VBG VBN RB TO VB DT NN . "
NNP VBD NNP NNS JJ NNP VBD JJ NN NN NNS VBP NN VBZ JJ NNP NNS . ,NNP VBD RP IN NNP NNS JJ NNP VBD DT JJ NN TO VB NNS TO VB IN NN NNS IN JJ NNP NNS . 
"DT JJ NNP NNP NN NN NNP NNP NNP RB JJ NN NN , NN RB VBN NN . ","DT JJ NNP NNP NN MD VB DT NNP NNP NNP TO VB JJ NN TO NN , NN PRP VBZ RB VBN IN DT NN . "
"NNP NNP NNP NNP VBG NNP NN NN `` NN VBD JJ NN JJ NN , VBN NNS VBD JJ `` NN NNS . ","NNP NNP NNP IN NNP VBZ VBG DT NNP IN DT NN NN TO `` VB JJ JJ NN IN JJ NN , VBD IN JJ NNS VB VBN CC VBN `` IN NN NNS . "
"NNP , CD NN NN , VBD `` NNS JJ NN NNP MD VB NN ( NN ) VBD `` . ","NNP , WP VBZ IN PRP$ CD NN IN DT NN , VBD EX `` VBP DT NNS IN PRP$ JJ NN IN NNP WP MD VB TO VB PRP ( DT NN ) VBD `` . "
CC VBD NN NNP POS NNS RB VBD NN NN . ,CC PRP VBD IN NN IN NNP POS NNS RB VBD PRP TO VB DT NN . 
"DT NN , NNP VBD NNP NN NNP , RB VBN NNP . ","DT NN , WDT NNP VBD IN DT NNP NN NNP , MD VB RB JJ NNP . "
"PRP VBZ `` NN NNP IN NN JJ NNS `` , NNP NNP NNP VBD `` JJ NN `` JJ NN NNS . ","PRP VBZ IN `` IN DT NN NNP VBZ VB DT NN IN JJ NNS `` , DT NNP NNP IN NNP MD VB VBN TO `` VB NN `` TO VB NN NNS . "
NN ,NN 
": IN RB , JJ NN , NNP NNP JJ NN NN , VBN , JJ VBD , `` JJS NN PRP RB VBD NN `` . ",": IN DT JJ , JJ NN , NNP NNP VBZ DT JJ NN NN , VBN , IN DT NN VBD PRP , IN DT `` JJS NN PRP RB VBD IN DT NN `` . "
"DT JJ NN NN NNP NNP , NN NN NN , VBN NNP NNP , NN JJ NN NNP NNP NNP NNP NNP . ","DT JJ NN NN VBZ NNP NNP , DT JJ NN NN , WP VBD NNP NNP , DT NN NN CC NN IN DT NNP NNP NNP NNP NNP . "
"NNP VBD CD NNS NNP POS NN , NNP VBD CD . ","NNP VBD CD NNS IN NNP POS NN , CC NNP VBD CD . "
"JJ NNP NNP , VBD NN , VBD NNS JJ NN . ","JJ NNP NNP , VBD IN DT NN , VBN IN IN DT NNS TO VB NN . "
"`` DT NN , JJS NN PRP RB VBD `` , NNP NNP NNP NNP VBD . ","`` DT VBD DT JJS , JJS NN PRP RB VBD `` , NNP NNP NNP NNP VBD . "
`` VBG NNS IN NN . ,`` NN IN DT NNS VBD RB IN VBG IN NN . 
"PRP RB VBD VB NN , RB VB NN `` . ","PRP VBD RB VB DT NN IN NN , CC PRP VBD RB VB DT NN IN NN `` . "
"DT NN VBG NN NN , RB . ","DT NN VBG TO DT NN VBD RB RB JJ , RB . "
"PRP VBD NN , JJ NN NN VBZ JJ NNS NN . ","PRP VBD VBN IN NN , JJ NN NN NNS CC VBD NNS IN NN . "
"DT JJ NN NN NN , NNP NNP NNP , JJ NN NNP CD , CD NNS VBD JJ NN NN NN NN . ","DT JJ NN NN NN , NNP NNP NNP , VBD PRP TO NN NNP CD , CD NNS IN PRP VBD PRP$ NN IN DT NN IN DT NN NN NN . "
"IN NN NN , NNS , NNP NNP , RB VBD JJ NN NNS . ","IN DT NN NN , DT NNS , NNP CC NNP , RB VBD JJ NN NNS . "
"JJ NNP VBD , , VBD JJ NNS RB VBN NN . ","JJ NNP VBD PRP , RB , VBD VBN TO JJ NNS RB IN PRP VBD DT NN . "
"JJ JJ NNS VBN MD VB NNS , NNP VBD NN NN NN VBD JJ NN . ","JJ JJ NNS VBD IN EX MD VB NNS IN DT NNS , CC NNP VBD PRP DT NN TO VB DT NN CC VBD DT JJ NN . "
NNP NNP NNP VBD JJ RB VBD JJ NN . ,NNP NNP NNP VBD DT JJ RB VBD JJ PRP$ NN . 
"`` NN VBD JJ JJ `` , NN VBD . ","`` NN VBD JJ JJ `` , DT NN VBD . "
`` EX RB VB NN `` . ,`` EX VBD RB DT NN IN NN `` . 
"NNP , NNP ","NNP , NNP "
: NNP NN NNP . NNP NNP POS `` VBD NN `` NN VBD JJ NNP IN JJ NNS NNP NNS . ,: NNP NN IN NNP . NNP NNP POS `` VBD NN `` NN VBD JJ NNP IN DT JJ NNS IN NNP NNS . 
"NNP RB VBD JJ NN , VBD RB IN NN CD JJ NNS , JJ NN NNP NNP NNP NNP . ","NNP RB VBD DT NN IN DT NN , WDT PRP VBD VBN RP RB IN PRP$ NN IN CD JJ NNS , IN DT JJ NN IN DT NNP NNP IN NNP CC NNP . "
"IN NN NNS , VBD RB JJ CD NN . ","IN NN NNS , PRP VBD RB TO DT NN IN CD NN . "
CC NNS NN NNS VBD NNS VBG NNS VBD JJ NN VB NN . ,CC NNS IN WDT NN NNS VBD NNS VBG IN NNS VBD JJ NN IN PRP MD VB NN IN PRP . 
NNP VBD `` RB JJ `` NN MD VB CD CD NNS JJ VB JJ NN CD CD NNS VBP JJ JJ NN IN NNP CD . ,NNP VBD `` RB JJ `` PRP$ NN IN PRP MD VB CD CD NNS TO VB VB DT JJ NN IN CD CD NNS IN DT NN IN DT JJ JJ NN IN NNP CD . 
PRP VBD NN NN MD RB VB NNS VBG NN NN NNS `` IN NNP NN `` . ,PRP VBD DT NN DT NN MD RB VB NNS IN VBG DT NN NN WDT VBZ VBN IN DT NNS `` IN NNP VBD DT JJ `` . 
"PRP VBZ NN VB NN NNS , NNS JJ NN NNS VBG CD NNS . ","PRP VBZ DT NN TO VB RP NN NNS , NNS CC JJ JJ NN IN NNS VBG IN CD NNS CC JJR . "
"DT NN , NNP VBD VBN RB , MD VB NNS , NN NNS , NN NNS NNS VBP NN NN NN . ","DT NN , WDT NNP VBD PRP VBD RB , MD VB NNS , NN NNS , NN NNS CC JJ NNS TO VB JJ NN TO DT NN NN . "
"DT NN NN VBD RB JJ JJ NN , NNP VBD . ","DT NN NN MD RB VB VBN RB IN PRP VBZ RB JJ TO VB JJ NN , NNP VBD . "
"NNP NNP , NNP NN VBG NNP NNP NNP , VBD NN NN VBD MD VB NNS VBP JJ NNS NNS VBP NN NN NNS . ","NNP NNP , DT NNP NN VBG DT NNP NNP NNP , VBD DT NN NN WRB PRP VBD PRP MD VB NNS TO VB PRP$ JJ NNS IN NNS CC VB DT NN IN NN NNS . "
"`` IN NN NN NNS , NN NN `` , VBD . ","`` IN PRP VBP NN IN NNS , PRP VBP NN TO DT NN `` , PRP VBD . "
`` PRP VBP NN JJ NNS NNS `` . ,`` PRP VBP IN IN NN JJ NNS IN NNS `` . 
"NNP NNP NNP NNP NNP , NN NN , VBD NN NN MD VB `` VBG NN NNS POS NNS NNS , NN NN NNS `` . ","NNP NNP NNP NNP IN NNP , NN IN DT NN , VBD DT NN TO VB PRP MD VB `` TO VBG DT NN IN IN DT NNS POS NNS TO NNS , NN CC NN NNS `` . "
"PRP$ NN VBD JJ NNS , VBG NNP NNP NNP , NNP NNP NNP NNP , NNP . NNP NNP NNP NNP NNP NNP . ","PRP$ NN VBD VBN IN JJ NNS , VBG NNP NNP IN NNP , NNP NNP NNP IN NNP , NNP . NNP NNP IN NNP CC NNP NNP IN NNP . "
"NNP VBD NN `` RB JJ `` IN , VBD , MD VB NNS . ","NNP VBD IN DT NN VBZ `` RB JJ `` IN , PRP VBD , PRP MD VB NNS . "
"PRP RB VBD JJ NN VBN NN , IN NN VBN JJ NNP . ","PRP RB VBD IN RB JJ NN VBD VBN IN DT NN , IN DT NN VBD VBN RB JJ NNP . "
"NNP , NNP ","NNP , NNP "
: NNS RB VBD NNP NN NNP NNP NNP NNP VBG JJ NN NNS VBP NNP CD JJS NNS . ,: NNS RB VBD NNP DT NN IN NNP NNP NNP IN NNP VBG NN IN NN NNS IN DT NN IN NNP CC DT CD JJ JJS NNS . 
DT NN VBN IN JJ VBG JJ NNS JJ NN VBD NN NN . ,DT NN VBZ VBN TO VB JJ VBG IN JJR JJ NNS IN DT JJ NN IN DT JJ NN TO DT NN . 
EX NN NNP VBD NN NNP . ,EX VBD DT NN IN DT NNP VBD DT NN IN TO DT NNP . 
"PRP MD VB NNP NNP NNP VB JJ NN NNS NN NNS CD NN , VBP JJ NNS CD CD NNS NN VBP NN NNS , VBG JJR NNS VBP JJ NNP NNP NNP . ","PRP MD VB DT NNP NNP NNP TO VB JJ NN NNS IN DT NN IN NNS IN CD CC JJR NN , VBP JJ NNS IN CD CC CD NNS IN NN TO VB DT NN NNS , VBG JJR NNS TO VB DT JJ NNP NNP IN DT NNP RB . "
"VBG NN NN NNS CD NNS NNP , NNP , NNP , NNP NNP NNP MD $ CD , MD VB $ CD RB JJ NN POS NN VBD $ CD VBN , NNP VBD NNP . ","NN NN IN DT NN NNS IN DT CD NNS IN NNP , NNP , NNP , NNP CC NNP NNP MD VB $ CD , WDT MD VB DT NNS IN $ CD RB IN DT JJ NN POS NN NN IN $ CD VBD VBN , NNP VBD DT NNP . "
"DT NNP VBD MD CD NNS JJ NN NN NNP NNP , VBG VBG NNP JJ NN JJ NN . ","DT NNP VBN EX MD VB CD NNS TO VB DT NN NN IN NNP NNP , VBG PRP IN VBG TO NNP TO VB IN DT NN JJ NN . "
NNP MD VB JJ NN NN NN NNS RB NNP NNP NNP ( NNP ) NNP NNP NNP . ,NNP MD VB TO VB DT NN IN NN NN NNS RB IN NNP NNP NNP ( NNP ) NNP CC NNP NNP . 
"IN NNS RB VBN , NNP VBD VBZ NN NN NNS NNP VBZ NNP POS JJ JJ NN VBD . ","IN NNS VBP RB TO VB VBN RP , NNP VBD PRP VBZ TO VB NN NNS IN NNP WRB PRP VBZ NNP POS JJ JJ NN MD VB VBN . "
"`` PRP VBP VBG '' JJ POS NNS POS NN '' NN NN VBG `` , VBD NNP . ","`` PRP VBP VBG JJR '' JJ POS NNS IN '' NN '' IN NN NN VBG `` , VBD NNP . "
"`` CC PRP VBP NNS RBR JJ NN , MD VB RB . ","`` CC PRP VBP IN NNS VBD JJR VBN IN DT NN , JJS IN PRP MD VB PRP RB . "
PRP VBP JJ NN JJ NN `` . ,PRP VBP JJ TO NN PRP$ JJ NN IN PRP `` . 
"NNP NNP , JJ NNP NNP , VBD VBN NN VBG NNS . ","NNP NNP , DT NN IN NNP NNP , VBD VBN IN PRP$ NN IN VBG IN DT NNS . "
"DT NNP NN VBD JJ NN NN VBN JJ JJ NN , IN NN VBZ JJ NN RB . ","DT NNP NN WDT VBD PRP$ JJ NN NN VBZ VBN TO VB PRP DT JJ NN , IN DT NN VBZ JJ NN RB . "
"DT NN VBD RB , VBD NNP , NN VBG NNP NNP NNP POS NN VBP VBG NN NNS . ","DT NN VBD RB , CC VBD TO DT NNP , DT NN VBG DT NNP NNP NNP POS NN TO VB NN NN TO NNS . "
"DT JJ RB VBD JJR NN NNP NNS VBD NNS , VBG CD NN . ","DT JJ RB VBD IN PRP$ NN NN IN NNP NNS VBN IN NNS , VBG DT CD IN DT NN . "
CD JJ VBZ NN NNS . ,CD JJ NNS IN NN NNS . 
DT JJ NN NNP NNP NNP . ,DT JJ NN IN DT NNP NNP NNP . 
"DT JJ VBD VBG NN NN NNP NN NNP NNP , JJ JJ NN RB VBN . ","DT JJ VBD DT NN NN IN NN IN DT NNP NN NNP NNP , IN WDT DT JJ JJ NN RB VBD VBN . "
"IN NN , NNS VBD NN NNP NN NNP NNP NNP VBG JJ JJ NN RB VBD NNP NNP NN . ","IN NN , NNS VBD DT NN IN NNP NNP NNP NNP IN NNP VBG NN IN DT NN IN DT NN IN DT RB VBN IN DT NNP NNP NN . "
NNP NN VBD RB JJ NNP NNP NN VBD NNS NNS NN . ,NN IN PRP$ NN MD VB VBN RB IN CC IN DT NN DT NNP NNP NN MD VB NNS CC NNS IN DT NN . 
CD NN NN NNS VBN . ,CD NN NN NNS VBD VBN . 
"CD , NNP NNP NNP NNP NNP , MD VB CD NNS VBP NN JJ NN NNS VBG JJ NN VBN . ","CD , IN NNP NNP NNP IN NNP NNP , MD VB JJR IN CD NNS WP VBP DT NN IN JJ NN NNS IN VBG DT NN IN DT NN VB VBN . "
"RB , NNS MD VB NN NN , NN MD VB NN CD CD NNS NN , CC $ CD NN . ","RB , NNS MD VB DT NN IN NN , NN IN WDT MD VB DT NN IN CD TO CD NNS IN NN , CC DT $ CD NN . "
PRP CD NN NNS NNP NNP NNP . ,PRP VBD CD IN DT NN IN NNS IN DT NNP NNP NNP . 
"DT NN , NNP NNP NNP NNP NNP NNP , MD VB JJ NN NNS , VBP JJ NN NN , $ CD JJ NN NN NNS NNS NNS . ","DT JJ NN , IN NNP NNP NNP NNP NNP IN NNP , MD VB JJ NN NNS , WP VBP PRP$ JJ JJ NN NN , IN DT $ CD JJ NN NN IN NNS IN JJ IN NNS CC NNS . "
"NNP NN JJ NN NNS MD VBN JJ NN NN , NN NNP NNP NNP CD , NNP NNP , VB NNS JJ NN NNS NN . ","NNP NN JJ NN NNS MD VB VBN DT NN IN NN NN , IN DT NN IN NNP NNP NNP CD , IN NNP NNP , TO VB NNS IN JJ NN NNS IN NN . "
"NNP NNP NNP , JJ NN NNP NNP NNP , VBD NN VB JJ NN NNS NNP NNP , VBG NN JJ JJ NNS . ","NNP NNP IN NNP , JJ NN IN DT NNP NNP NNP , VBD DT NN TO VB IN JJ NN NNS IN DT NNP CC NNP , VBG DT NN IN JJ JJ NNS . "
